name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
LogisticRegressionRidge_Baseline_FDR_0.01,0.10781534389102064,0.08435230198380914,0.08571021839511574,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_FDR_0.25,0.10572371826155275,0.08644594775411302,0.08570793546468519,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_FDR_0.05,0.10517130070236708,0.08606713877023131,0.0856808206201049,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_FDR_0.05,0.10712325184642113,0.08525043611525415,0.0855625256538725,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_None,0.10465857742205308,0.08721822849191771,0.08553080613031419,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_FDR_0.05,0.10746242503852148,0.08519227775090339,0.08547912179858888,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_SFM_GB_mean,0.09981209560200464,0.08220010444947158,0.08537131050247726,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_SFM_GB_1.5mean,0.09974813893490656,0.08237665122237892,0.08536620226032142,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_SFM_GB_1.5mean,0.0998116453274878,0.0823132646271066,0.08536295795060839,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_FDR_0.01,0.10785011703886381,0.08445410422002098,0.08535789339868101,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_FDR_0.25,0.10459356463993348,0.08627508080495885,0.08535185770167159,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_SFM_GB_1.5mean,0.09979830237327986,0.08227933419078419,0.08533244209737006,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_SFM_GB_mean,0.09974813893490656,0.0823414106236838,0.08532519393057691,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_SFM_GB_mean,0.09979860014565937,0.08219467218774619,0.08532420503434203,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_FDR_0.01,0.10644592431216589,0.0848706088739375,0.0853060514939336,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_SFM_GB_1.5mean,0.09971168351285271,0.08232682611025141,0.08527925146215365,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_SFM_GB_mean,0.0997122473829368,0.0822167208255923,0.08522672383386878,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_FDR_0.25,0.10747360389622783,0.08562763367628097,0.08521753064563323,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_RandomOverSampler_SFM_GB_mean,0.10166564089927856,0.08190953807688459,0.08518663423556574,0.12898653437278526,0.674074074074074,0.0713166144200627,0.8435988801221684
LogisticRegressionElasticNet_RandomOverSampler_SFM_GB_mean,0.10306473999820066,0.08191266331236613,0.08518107626047418,0.12685560053981107,0.6962962962962963,0.06978470675575353,0.8353270552303385
LogisticRegressionRidge_RandomOverSampler_SFM_GB_1.5mean,0.10305460984838671,0.0826239887690656,0.08516753301879734,0.12694125590817015,0.6962962962962963,0.06983655274888559,0.8354543140748282
LogisticRegressionBase_RandomOverSampler_SFM_GB_1.5mean,0.10291712074165771,0.08253918872334837,0.08514248431992737,0.12685560053981107,0.6962962962962963,0.06978470675575353,0.8353270552303385
