name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
GradientBoost_Baseline,0.10444892369957245,0.22512637482383577,0.07678686520255631,0.0,0.0,0.0,0.9824382794604225
GradientBoost_RandomUnderSampler,0.09271759729864829,0.08804738776212839,0.07657247687952869,0.11275314723590586,0.762962962962963,0.060874704491725766,0.7937134130822092
GradientBoost_ClassWeight,0.102690693118164,0.2282084314140138,0.07537824961949852,0.0,0.0,0.0,0.9824382794604225
AdaBoost_RandomUnderSampler,0.09927731350759542,0.07468746062450396,0.0736947841820321,0.14106583072100312,0.6666666666666666,0.07887817703768624,0.8605243064392976
AdaBoost_RandomOverSampler,0.08878296240424699,0.07403586881981948,0.07369307006653023,0.14240506329113925,0.6666666666666666,0.07971656333038087,0.8620514125731739
AdaBoost_Baseline,0.08917709107945732,0.07389774280966019,0.07145092057092242,0.0,0.0,0.0,0.9828200559938916
AdaBoost_ClassWeight,0.08878296240424699,0.07366898424077765,0.07107364726717798,0.0,0.0,0.0,0.9828200559938916
AdaBoost_SMOTE,0.09454810187775632,0.07456624269037258,0.07044498963278792,0.12748457847840988,0.6888888888888889,0.0702416918429003,0.837999490964622
XGBoost_ClassWeight,0.06900643777086132,0.4360801511588919,0.0675431653552877,0.14285714285714285,0.37777777777777777,0.08808290155440414,0.9221175871723085
RandomForest_RandomUnderSampler,0.07925585519316304,0.13003409865360369,0.06612245505260997,0.08982584784601283,0.725925925925926,0.04787493893502687,0.7472639348434716
XGBoost_RandomOverSampler,0.07529296657606611,0.470983599780838,0.06514534092937967,0.11838790931989925,0.34814814814814815,0.07132018209408195,0.9109188088572155
RandomForest_SMOTE,0.04767809484134954,0.41164164588015756,0.0614440523195932,0.09646302250803858,0.2222222222222222,0.061601642710472276,0.928480529396793
XGBoost_SMOTE,0.0797859445025278,0.17000349734617395,0.06116996529984788,0.10933660933660934,0.6592592592592592,0.05961152042866711,0.8154746754899466
XGBoost_RandomUnderSampler,0.07096063693811552,0.0913713775331613,0.05984673464322989,0.07925596441568944,0.725925925925926,0.041916167664670656,0.7102316110969712
XGBoost_Baseline,0.07442835094347271,0.4570710295220105,0.05939249204895192,0.0,0.0,0.0,0.9824382794604225
KNearestNeigbor_RandomUnderSampler,0.055891952008033,0.06289585643068013,0.05168064306503598,0.09146877748460862,0.7703703703703704,0.04862085086489014,0.7370832272842962
RandomForest_Baseline,0.049441259447708996,0.6843069086920741,0.050199727706236576,0.013605442176870748,0.007407407407407408,0.08333333333333333,0.9815474675489947
RandomForest_ClassWeight,0.04959181527834616,0.6238394679773213,0.050041767440549355,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431
RandomForest_RandomOverSampler,0.06700702561709265,0.6160788355486158,0.04799035122521765,0.11282051282051282,0.08148148148148149,0.18333333333333332,0.9779842199032833
DecisionTree_SMOTE,0.04171202975322867,0.06887778553791243,0.042416164252526076,0.10309278350515463,0.6296296296296297,0.056142668428005284,0.8117841689997455
KNearestNeigbor_SMOTE,0.03257680916350208,0.7937283083666095,0.03053276876462361,0.0789685737308622,0.362962962962963,0.04430379746835443,0.854543140748282
KNearestNeigbor_ClassWeight,0.0277395871978483,0.2623000557556751,0.030443384935514267,0.0,0.0,0.0,0.9820565029269535
KNearestNeigbor_Baseline,0.028892946440175326,0.26204260141812863,0.029956181730819254,0.0,0.0,0.0,0.9819292440824637
KNearestNeigbor_RandomOverSampler,0.030521287384964273,0.8963275878648258,0.027695279227427445,0.08944543828264759,0.18518518518518517,0.0589622641509434,0.9352252481547467
DecisionTree_RandomUnderSampler,0.026434791808465787,0.042013667932116874,0.02686743747192354,0.061254612546125464,0.6148148148148148,0.03223300970873787,0.6762534996182235
DecisionTree_Baseline,0.020290436867369734,0.3125020497348006,0.019996929385080655,0.06578947368421052,0.07407407407407407,0.05917159763313609,0.9638584881649275
DecisionTree_RandomOverSampler,0.020504274037005252,0.2986109394847164,0.019453010691390826,0.06944444444444445,0.07407407407407407,0.06535947712418301,0.9658946296767625
DecisionTree_ClassWeight,0.022515241025663775,0.3450533644449544,0.01888865744122432,0.08139534883720931,0.1037037037037037,0.06698564593301436,0.9597862051412573
